"p","arc_length","Points:0","Points:1","Points:2"
-0.23835,0.6775,-0.32167,0.40142,0.33702
-0.23811,0.67902,-0.32167,0.40142,0.3355
-0.23791,0.68055,-0.32167,0.40142,0.33397
-0.23772,0.68207,-0.32167,0.40142,0.33245
-0.23754,0.6836,-0.32167,0.40142,0.33092
-0.23733,0.68512,-0.32167,0.40142,0.3294
-0.23719,0.68665,-0.32167,0.40142,0.32787
-0.23709,0.68817,-0.32167,0.40142,0.32635
-0.23696,0.6897,-0.32167,0.40142,0.32482
-0.23687,0.69122,-0.32167,0.40142,0.3233
-0.2368,0.69275,-0.32167,0.40142,0.32177
-0.23674,0.69427,-0.32167,0.40142,0.32025
-0.23671,0.6958,-0.32167,0.40142,0.31872
-0.23671,0.69732,-0.32167,0.40142,0.3172
-0.23668,0.69885,-0.32167,0.40142,0.31567
-0.23662,0.70037,-0.32167,0.40142,0.31415
-0.2366,0.7019,-0.32167,0.40142,0.31262
-0.2366,0.70342,-0.32167,0.40142,0.3111
-0.23663,0.70495,-0.32167,0.40142,0.30957
-0.2367,0.70647,-0.32167,0.40142,0.30805
-0.23676,0.708,-0.32167,0.40142,0.30652
-0.23685,0.70952,-0.32167,0.40142,0.305
-0.23698,0.71105,-0.32167,0.40142,0.30347
-0.23711,0.71257,-0.32167,0.40142,0.30195
-0.23724,0.7141,-0.32167,0.40142,0.30042
-0.23736,0.71562,-0.32167,0.40142,0.2989
-0.23747,0.71715,-0.32167,0.40142,0.29737
-0.23761,0.71867,-0.32167,0.40142,0.29585
-0.23779,0.7202,-0.32167,0.40142,0.29432
-0.23798,0.72172,-0.32167,0.40142,0.2928
-0.23809,0.72325,-0.32167,0.40142,0.29127
-0.23827,0.72477,-0.32167,0.40142,0.28975
-0.2385,0.7263,-0.32167,0.40142,0.28822
-0.23873,0.72782,-0.32167,0.40142,0.2867
-0.23896,0.72935,-0.32167,0.40142,0.28517
-0.23915,0.73087,-0.32167,0.40142,0.28365
-0.23935,0.7324,-0.32167,0.40142,0.28212
-0.23957,0.73392,-0.32167,0.40142,0.2806
-0.23984,0.73545,-0.32167,0.40142,0.27907
-0.24013,0.73697,-0.32167,0.40142,0.27755
-0.24039,0.7385,-0.32167,0.40142,0.27602
-0.24066,0.74002,-0.32167,0.40142,0.2745
